序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
273,002019,亿帆医药,0.01,39.98,428.59,2024年4季度股票投资明细
274,002252,上海莱士,0.01,58.45,422.02,2024年4季度股票投资明细
275,688161,威高骨科,0.01,15.85,399.64,2024年4季度股票投资明细
276,000513,丽珠集团,0.01,10.14,385.32,2024年4季度股票投资明细
277,688710,益诺思,0.01,9.95,353.18,2024年4季度股票投资明细
278,600329,达仁堂,0.01,11.46,352.84,2024年4季度股票投资明细
279,603439,贵州三力,0.01,26.05,338.65,2024年4季度股票投资明细
280,688253,英诺特,0.01,9.22,334.49,2024年4季度股票投资明细
281,600867,通化东宝,0.01,40.69,327.96,2024年4季度股票投资明细
282,002901,大博医疗,0.01,9.54,294.1,2024年4季度股票投资明细
283,688553,汇宇制药,0.01,18.61,282.86,2024年4季度股票投资明细
284,300203,聚光科技,0.01,18.21,277.34,2024年4季度股票投资明细
285,688236,春立医疗,0.01,21.26,272.14,2024年4季度股票投资明细
286,002675,东诚药业,0.01,22.0,268.88,2024年4季度股票投资明细
287,688293,奥浦迈,0.01,6.99,254.99,2024年4季度股票投资明细
288,688180,君实生物,0.01,9.15,250.12,2024年4季度股票投资明细
289,300896,爱美客,0.01,1.31,238.55,2024年4季度股票投资明细
290,300363,博腾股份,0.01,14.61,230.4,2024年4季度股票投资明细
291,603087,甘李药业,0.01,5.16,227.34,2024年4季度股票投资明细
292,301188,力诺药包,0.01,14.99,225.15,2024年4季度股票投资明细
293,300049,福瑞股份,0.01,6.24,196.81,2024年4季度股票投资明细
294,600529,山东药玻,0.01,6.79,174.98,2024年4季度股票投资明细
295,688690,纳微科技,0.01,9.91,174.39,2024年4季度股票投资明细
296,000739,普洛药业,0.01,10.7,173.98,2024年4季度股票投资明细
297,000403,派林生物,0.01,7.6,160.52,2024年4季度股票投资明细
298,600380,健康元,0.0,12.87,145.09,2024年4季度股票投资明细
299,300482,万孚生物,0.0,6.12,137.22,2024年4季度股票投资明细
300,688658,悦康药业,0.0,2.46,35.5,2024年4季度股票投资明细
301,301626,苏州天脉,0.0,0.1,6.3,2024年4季度股票投资明细
302,688615,合合信息,0.0,0.03,4.79,2024年4季度股票投资明细
303,301611,珂玛科技,0.0,0.08,4.51,2024年4季度股票投资明细
304,688449,联芸科技,0.0,0.14,4.14,2024年4季度股票投资明细
305,688605,先锋精科,0.0,0.07,3.99,2024年4季度股票投资明细
306,688708,佳驰科技,0.0,0.08,3.82,2024年4季度股票投资明细
307,688726,拉普拉斯,0.0,0.1,3.24,2024年4季度股票投资明细
308,001391,国货航,0.0,0.47,3.19,2024年4季度股票投资明细
309,301551,无线传媒,0.0,0.07,2.82,2024年4季度股票投资明细
310,603072,天和磁材,0.0,0.23,2.77,2024年4季度股票投资明细
311,688750,金天钛业,0.0,0.17,2.6,2024年4季度股票投资明细
312,301522,上大股份,0.0,0.08,2.03,2024年4季度股票投资明细
313,688721,龙图光罩,0.0,0.03,1.59,2024年4季度股票投资明细
314,301556,托普云农,0.0,0.03,1.58,2024年4季度股票投资明细
315,301631,壹连科技,0.0,0.02,1.56,2024年4季度股票投资明细
316,301606,绿联科技,0.0,0.04,1.45,2024年4季度股票投资明细
317,301571,国科天成,0.0,0.04,1.43,2024年4季度股票投资明细
318,301622,英思特,0.0,0.03,1.37,2024年4季度股票投资明细
319,301608,博实结,0.0,0.02,1.2,2024年4季度股票投资明细
320,301613,新铝时代,0.0,0.03,1.15,2024年4季度股票投资明细
321,301586,佳力奇,0.0,0.02,1.14,2024年4季度股票投资明细
322,301617,博苑股份,0.0,0.03,1.01,2024年4季度股票投资明细
323,301603,乔锋智能,0.0,0.02,0.98,2024年4季度股票投资明细
324,301607,富特科技,0.0,0.03,0.93,2024年4季度股票投资明细
325,603194,中力股份,0.0,0.03,0.82,2024年4季度股票投资明细
326,301552,科力装备,0.0,0.01,0.81,2024年4季度股票投资明细
327,301585,蓝宇股份,0.0,0.02,0.75,2024年4季度股票投资明细
328,001279,强邦新材,0.0,0.03,0.74,2024年4季度股票投资明细
329,603395,红四方,0.0,0.02,0.55,2024年4季度股票投资明细
330,603207,小方制药,0.0,0.02,0.49,2024年4季度股票投资明细
331,603310,巍华新材,0.0,0.03,0.46,2024年4季度股票投资明细
332,603091,众鑫股份,0.0,0.01,0.42,2024年4季度股票投资明细
333,603391,力聚热能,0.0,0.01,0.41,2024年4季度股票投资明细
334,603285,键邦股份,0.0,0.01,0.29,2024年4季度股票投资明细
335,603882,金域医学,0.0,0.01,0.15,2024年4季度股票投资明细
336,300357,我武生物,0.0,0.01,0.11,2024年4季度股票投资明细
337,688443,智翔金泰,,300.83,7755.47,2024年4季度股票投资明细
